1,16,0.0043235999999999995
2,32,0.0087376
3,64,0.0177026
4,128,0.035022700000000004
5,256,0.0701329
6,512,0.1372052
7,1024,0.27413540000000003
8,2048,0.5608922000000001
9,4096,1.1283558999999999
10,8192,2.2711806999999995
11,16384,4.5137141
,16,0.0081435
,32,0.016356199999999998
,64,0.03271229999999999
,128,0.0652067
,256,0.13061830000000002
,512,0.26005410000000007
,1024,0.5226765999999998
,2048,0.9461771999999999
,4096,1.8834012999999998
,8192,3.4440211000000005
,16384,5.9774409
