data_size,BW
4,0.000117
8,0.000234
16,0.000469
32,0.000937
64,0.001866
128,0.003738
256,0.007509
512,0.014951
1024,0.029952
2048,0.059743
4096,0.119556
8192,0.239574
16384,0.457654
32768,0.757537
65536,1.235689
131072,1.804405
262144,2.288987
524288,2.685241
1048576,2.929818
2097152,3.075003
4194304,3.150736
8388608,3.192357
16777216,3.214732
