data_size,BW
4,0.001720
8,0.003434
16,0.006814
32,0.013716
64,0.027463
128,0.054876
256,0.110389
512,0.219617
1024,0.440241
2048,0.851158
4096,1.635347
8192,2.202545
16384,2.677357
32768,3.004768
65536,3.197814
131072,3.267813
163840,3.281929
262144,3.311806
524288,3.331780
